HUC_12,pred,pred_proba,LAT,LONG
90203161004.0,1,0.07789669597837048,48.895984,-98.0310473
90300050602.0,0,0.028052721536058117,48.0309462,-93.0951457
100200020311.0,1,0.10559146246868364,45.1642192,-112.6031648
100200020603.0,1,0.06314128432075486,45.2133436,-112.5717867
100200060302.0,1,0.1354071033361658,46.3517521,-112.2334829
100301010504.0,1,0.11269544915357285,46.1411345,-111.4335212
100301021101.0,1,0.07293019712025639,47.7224088,-111.5604081
100500041304.0,1,0.23287848358818286,48.4750387,-108.6210995
100500041505.0,1,0.10000966833445989,48.3630527,-108.0721173
100500041901.0,1,0.08382162419311988,48.3731929,-107.8736876
100500042102.0,1,0.27716296820396247,48.4890685,-107.1841878
100500120404.0,1,0.3405870055345981,48.2828526,-106.7409012
100500140703.0,1,0.2578446325362328,48.445995,-107.5158573
100600010802.0,1,0.14863680963863313,48.0203117,-106.2037318
100700040602.0,0,0.022220851645632728,45.6667667,-108.8384435
100700070805.0,0,0.06027401203846788,45.9794496,-108.0642562
100800020201.0,0,0.022193363908691862,42.9283318,-109.0021549
100800070203.0,0,0.015832003474219893,43.7191719,-108.7977877
100800110203.0,1,0.09308977280399466,44.5533674,-108.4110094
100902020503.0,0,0.0203977768473421,44.0821249,-106.0039082
101101010503.0,1,0.07853511041171278,47.9250515,-103.6697952
101101010901.0,1,0.18460562089877244,48.2349426,-103.1230358
101101011308.0,1,0.406400200750573,48.4470889,-102.7316251
101101011905.0,0,0.0489738139603179,47.8649611,-102.6192847
101101012602.0,1,0.4396762480578898,47.9804144,-102.0067612
101101012605.0,1,0.2769075755847075,47.9238876,-102.1869437
101101012704.0,0,0.05344051261918574,47.8671273,-102.5042666
101101013401.0,1,0.06509381139217518,47.4396029,-101.8088648
101101020101.0,1,0.3679907229762704,48.6677119,-103.4867746
101101020205.0,1,0.41789967564586383,48.5992213,-103.3867317
101102010101.0,0,0.021750045661577833,44.5848546,-104.949333
