HUC_12,PAGC,PFOR,NATMedium,RNS45,rBUFF45,WaterbodyArea,Ag_N_Leachate,WELL_DEPTH,TRANS,Pred_Viol_Prob_SW,Pred_Viol_Prob_GW,AWD_MGAL,pred_pOx_1,LONG,RO_0013,ET_0013,StrL,TD_N_T,AWD_REDN_T,TD_S_T,FP_PFOR,FP_PWETL,FP_M2WATER,FP_PSHRUB
111002030401.0,18.7157555,0.0,72.23000151136742,0.097827361501377,15.98388,0.109097571485085,9.9422004938,366.24202449505145,641.6842305266196,0.661596936120432,0.891673586823787,1.639529,0.7967788461538461,-100.098333,0.2717039395858961,0.8525009051182807,40701.0534557,6.662131626561756,2.703472859473096,1.51237253722736,0.0,0.3724065,1800.0,7.7850685
111003020105.0,1.7356795,6.7846317,0.0,0.310513620066222,8.0750551,1.480512813823613,1.40514428834,339.5356421121736,256.82131787865995,0.509191040058662,0.537953646661463,0.264875,0.6165304878048781,-97.4581716,0.4420726791571043,0.6992007116940556,29606.0349168,10.90885266243842,2.032545144325117,2.976336560838147,12.3279791,0.6569168,2072700.0,0.5849916
111003030206.0,4.5889025,40.4298592,56.44000002045093,0.117326523766536,14.4974308,0.727714487966248,2.28100994992,161.35753942418984,129.61135354254515,0.226836685792589,0.359490065298899,0.18182,0.704737037037037,-97.1869528,0.4349429018178704,0.8112083313239478,114871.390457,8.658000219835104,2.155891377871404,2.755202162805177,19.5891705,0.3976941,221400.0,1.4886165
111102010104.0,18.2083549,12.5965099,88.83999959392452,0.07473244458314,12.7419977,5.236922084254627,75.2672920249,98.76094152988532,370.5831647094545,0.238849338600133,0.306414437742219,0.000786,0.3112621951219512,-94.2267343,0.5013209170387205,0.8642908795181007,70763.704448,11.065206508216155,3.413646693029462,3.734206407543883,10.1577196,40.2988396,6975900.0,0.2684007
111201010505.0,70.5570297,0.0197044,11.969999979657024,0.084701638101843,2.0610945,2.662952086847172,2.29838950465,366.9910217955872,482.9939925469658,0.661582444219034,0.842981144493409,14.977186,0.8668494475138122,-102.4702557,0.2856959224955706,0.8235508478132656,29731.9676305,8.309600735585043,3.357368949543307,2.423755109823008,0.1353744,7.8204727,358200.0,12.6939497
111201010607.0,66.7448654,0.00519,15.389999969384998,0.089732233512237,0.2638991,2.584306244888183,0.527714111324,270.19418809678814,515.2984705164585,0.6851,0.8298,2.688006,0.8796805555555556,-102.1180612,0.2563579848788554,0.8404570350742353,0.0,6.754869073247217,2.804410603041326,2.035674772289468,0.0,18.271843,1138500.0,1.4372097
111201030204.0,40.73946,5.6066298,60.70000008266169,0.05051267689379,5.9230118,0.556997403141668,0.411364403008,335.5250851927685,216.97242605627133,0.628627026476981,0.717995090440137,0.942564,0.7546995798319328,-101.5547191,0.2478093228353423,0.8424635598544465,40659.9045604,5.661611553330875,2.342201299967209,1.852449167045697,3.9440308,12.7158175,127800.0,11.2102118
111201040102.0,67.9488297,0.0033457,23.69000001914125,0.041591353254869,0.3922464,3.046859744325043,4.48269005665,362.28007392883296,454.08103204190695,0.4042219822596266,0.4959931065361441,16.264627,0.8927859375,-102.4239442,0.2874297237493575,0.8497111719194739,0.0,8.928791691897063,2.846262899401406,2.814649935051683,0.0317999,6.1797752,236700.0,4.6215816
111201040501.0,56.3881721,0.0066639,24.26000371406176,0.053729259740191,1.2717866,2.323212546108615,0.785155378679,205.42494024549208,401.1164932852223,0.6693,0.7358,3.147324,0.8201004464285714,-101.6092635,0.2561624930746556,0.8544991158742709,7070.70400591,5.771608871065699,2.161017107726946,1.868920055397187,0.0664066,18.3863201,78300.0,0.8964887
111203030502.0,52.137619,8.5124292,9.060000003521036,0.088924835777154,6.1147485,0.075436904250751,11.6497315415,56.740679390822784,345.2886550493545,0.862630894644734,0.860580837128541,0.890208,0.5693607594936709,-99.2680367,0.2822311577515664,0.8232155860605773,44811.2346855,7.417565784668966,2.041399333234253,2.23656663865187,1.8952993,1.093763,0.0,23.2779503
111301030103.0,48.4939804,0.0301355,59.97999999096833,0.030033337672613,1.1542468,1.552834044655226,5.62438216305,219.6412961589756,357.82542477238377,0.6661,0.7531,3.253412,0.8433371212121212,-101.2537068,0.271617443747103,0.8585764294958563,5689.42026596,5.881822290873642,1.771082755343711,2.080431294209738,0.0513018,10.5553417,181800.0,0.2607841
111301040204.0,20.8762264,0.3010781,91.70000054057536,0.037381699175796,10.5264378,1.617766036184945,1.19531956392,285.48010746125254,705.6010123713295,0.684242913747715,0.814246885886393,0.798308,0.7766875000000001,-101.0147411,0.2739801179378321,0.8637693272128323,56453.2777771,5.855065162837214,1.720090015281911,2.288031997638905,0.0892887,4.4445915,1426500.0,11.0387249
111302050208.0,21.3791695,13.76859,1.940001118963053,0.018055474017109,18.3521614,0.43727426786824,6.86279497849,33.23443637871594,227.13103777379,0.818584425168001,0.775446616871956,1.523214,0.7339798136645963,-99.5983121,0.2622375378967719,0.8622698103393936,81356.673846,5.117452031496817,1.748337538676251,1.590962814150114,24.9795952,0.8871855,21600.0,71.549736
120100050303.0,0.0,50.8599854,81.91999916948846,0.039632351682301,16.8299961,0.605828178271579,0.512299355336,491.89091218647206,130.7162906596999,0.108683021913334,0.041298146542903,0.0,0.3884421052631579,-93.2056966,0.5552238298255723,0.9362248015527213,80433.02522159998,9.32584012768804,2.004541808660239,5.386960517449126,29.3052654,59.2104568,61200.0,3.5406289
120200030404.0,0.4064838,30.4937649,72.49000743039105,0.147476386065178,7.8930502,1.107964883145537,0.225355198488,416.6275812784831,317.23470633052534,0.156208195945536,0.143720510467414,0.0,0.1843263888888889,-93.9913515,0.5553737391549726,0.9333830577588834,17262.8405917,10.838173461587102,2.045304287731892,8.638421242522528,23.5233879,55.3190346,44100.0,5.3890924
120401010404.0,0.0131537,28.7583542,91.34999865915977,0.152475246001527,9.9092875,10.26087606229887,0.0629888146628,415.89952804258206,446.0920089262117,0.191606446289249,0.141750488340066,0.0,0.3780973154362416,-95.3480307,0.4964978416330378,0.8812913777859344,81922.3715985,10.75004454148528,2.044390339147199,5.38181148767613,25.843956,46.1055145,7086600.0,0.511239
120402010500.0,0.0954283,0.0424126,4.060000847637345,0.057672999604251,2.2264152,254.56905818026863,0.232709756613,425.9723152160644,954.1850123669592,0.196707892037622,0.145978909616866,0.0,0.2393589743589743,-93.8488753,0.5421083879459584,0.9500132145538226,37476.3955766,10.435039898173237,2.009087003908817,9.439387462990068,0.0293663,76.9592209,248929200.0,0.1801132
120500010104.0,2.341907,0.0,0.0,0.010216958062384,0.6221392,0.045287038767302,0.735200225855,113.55352198823968,409.6350165060939,0.3544931111416756,0.2924996770397789,0.164964,0.7126932624113476,-103.8063932,0.2882393291965609,0.8640414834645843,7238.20948491,4.525025679403177,2.191260840024088,1.590842652771554,0.0,0.0891619,0.0,90.6974411
120500010105.0,3.3541117,0.0,96.47999993897736,0.0,0.3661298,0.244785292106818,1.86502167915,118.8223072306315,441.6309232319485,0.3585187830290225,0.3061004494089139,0.957346,0.7112966666666667,-103.7267993,0.2891996956878967,0.8536280799885528,0.0,4.681424183118144,2.324139052555839,1.683749724097777,0.0,28.8593369,40500.0,46.2023582
