HUC_12,target,pred,pred_proba,LAT,LONG
10802050805.0,0,0,0.011630531790753414,41.5749894,-72.4716829
10300032308.0,1,1,0.8138842776295069,44.2279952,-69.8918219
10900020502.0,0,0,0.021034325223454203,41.5887544,-71.0864092
150502020705.0,0,1,0.07859391530637594,31.7563051,-110.231211
101800091102.0,0,0,0.025037319189980485,41.3515098,-102.990333
101800070303.0,0,0,0.03755479229512127,42.8046308,-106.4209863
30902061605.0,0,0,0.018501616512667286,25.4989118,-80.4370845
102701030105.0,0,0,0.04120825120424923,39.7741491,-95.8031418
180300060101.0,0,0,0.02476475850130089,36.1391418,-118.6153871
31403030403.0,0,0,0.0070670861688251945,31.8858991,-86.5539328
20402060507.0,0,0,0.008307735031421043,39.2890308,-74.9767058
180500050305.0,0,0,0.023872054797818433,38.2759304,-123.0009416
180400011304.0,0,0,0.05292349796489252,36.8821033,-120.7701025
140500060308.0,0,0,0.034896813511787944,40.1070015,-108.4547352
31002070201.0,0,0,0.01914731007269272,28.7710226,-82.542589
102600110102.0,0,0,0.03533155766467235,39.3788738,-100.8945381
140500030808.0,0,0,0.023145851272162753,40.9804075,-108.1856544
20401050702.0,0,0,0.011540801830061587,40.4559872,-75.2242508
30202010401.0,0,0,0.012103716947386035,36.2251958,-78.7871649
170402080304.0,0,0,0.04681320635088862,42.382015,-112.2568575
20700090401.0,0,0,0.010431113828113805,39.5514472,-77.0690667
121004050103.0,0,0,0.018388253958909466,28.2175553,-97.0607062
102702060306.0,0,0,0.012475105674496861,40.4858103,-98.5367058
20401050201.0,0,0,0.0130059306777088,40.9992846,-74.7609747
20801090303.0,0,0,0.01570185189862668,38.7955578,-75.707603
110300010804.0,0,0,0.030909351857390896,37.9045407,-100.9716956
101101020504.0,0,1,0.07533089149204031,48.3219085,-103.7244948
70801050904.0,0,0,0.035289574972358746,41.8483506,-93.5190972
170501140401.0,0,0,0.05763593383595383,43.5620217,-116.0854165
20503061602.0,0,0,0.013928244764885456,39.6692261,-76.4694409
180600070109.0,0,0,0.033746083416005296,34.7829331,-119.4222444
170602011801.0,0,0,0.05061701687030103,44.497735,-114.1368888
30801010201.0,0,0,0.007670467557177912,27.6731814,-80.8670631
102100090605.0,0,0,0.0215420223869988,41.4390578,-97.5184187
110100110209.0,0,0,0.01725139303673197,36.8299227,-91.2709894
20700040407.0,0,0,0.00883349519767791,39.448284,-78.1347952
180703050203.0,0,0,0.013932979428744966,32.7163791,-116.6640689
31102040105.0,0,0,0.009527486455112635,31.458032,-83.5571052
101102050302.0,0,0,0.016223391429642752,47.4397317,-103.1854683
